# 2025-02-06 18:54:31.750665
# gamma = 5/3
# xi0 = 1.151666417967 (E_error=1.92e-12)
# Pc = 0.3061936398892737
# xi  a  v  p  u/u1  P/P1  T/T1
1.0126664 2.9728200e-01 8.9678388e-01 6.4703213e-01 7.8854685e-01 5.0027092e-01 1.6828161e+00
1.0116664 2.9508505e-01 8.9620073e-01 6.4616564e-01 7.8725590e-01 4.9861475e-01 1.6897324e+00
1.0106664 2.9290829e-01 8.9562008e-01 6.4531411e-01 7.8596816e-01 4.9697372e-01 1.6966871e+00
1.0096664 2.9075149e-01 8.9504192e-01 6.4447742e-01 7.8468362e-01 4.9534767e-01 1.7036806e+00
1.0086664 2.8861442e-01 8.9446626e-01 6.4365547e-01 7.8340226e-01 4.9373644e-01 1.7107130e+00
1.0076664 2.8649684e-01 8.9389310e-01 6.4284816e-01 7.8212410e-01 4.9213989e-01 1.7177847e+00
1.0066664 2.8439852e-01 8.9332243e-01 6.4205536e-01 7.8084910e-01 4.9055785e-01 1.7248959e+00
1.0056664 2.8231926e-01 8.9275425e-01 6.4127698e-01 7.7957728e-01 4.8899018e-01 1.7320469e+00
1.0046664 2.8025881e-01 8.9218857e-01 6.4051291e-01 7.7830861e-01 4.8743673e-01 1.7392378e+00
1.0036664 2.7821697e-01 8.9162538e-01 6.3976304e-01 7.7704310e-01 4.8589735e-01 1.7464691e+00
1.0026664 2.7619352e-01 8.9106468e-01 6.3902729e-01 7.7578074e-01 4.8437189e-01 1.7537410e+00
1.0016664 2.7418824e-01 8.9050646e-01 6.3830553e-01 7.7452151e-01 4.8286022e-01 1.7610537e+00
1.0006664 2.7220094e-01 8.8995073e-01 6.3759769e-01 7.7326542e-01 4.8136219e-01 1.7684076e+00
0.9996664 2.7023139e-01 8.8939749e-01 6.3690365e-01 7.7201244e-01 4.7987766e-01 1.7758028e+00
0.9986664 2.6827941e-01 8.8884673e-01 6.3622332e-01 7.7076258e-01 4.7840650e-01 1.7832397e+00
0.9976664 2.6634478e-01 8.8829845e-01 6.3555660e-01 7.6951582e-01 4.7694855e-01 1.7907186e+00
0.9966664 2.6442732e-01 8.8775265e-01 6.3490341e-01 7.6827216e-01 4.7550370e-01 1.7982397e+00
0.9956664 2.6252682e-01 8.8720932e-01 6.3426364e-01 7.6703159e-01 4.7407181e-01 1.8058033e+00
0.9946664 2.6064309e-01 8.8666847e-01 6.3363721e-01 7.6579410e-01 4.7265274e-01 1.8134098e+00
0.9936664 2.5877595e-01 8.8613009e-01 6.3302402e-01 7.6455968e-01 4.7124636e-01 1.8210593e+00
0.9926664 2.5692520e-01 8.8559417e-01 6.3242399e-01 7.6332832e-01 4.6985255e-01 1.8287523e+00
0.9916664 2.5509066e-01 8.8506073e-01 6.3183702e-01 7.6210002e-01 4.6847118e-01 1.8364889e+00
0.9906664 2.5327215e-01 8.8452974e-01 6.3126303e-01 7.6087476e-01 4.6710211e-01 1.8442695e+00
0.9896664 2.5146949e-01 8.8400122e-01 6.3070194e-01 7.5965254e-01 4.6574524e-01 1.8520944e+00
0.9886664 2.4968250e-01 8.8347515e-01 6.3015365e-01 7.5843334e-01 4.6440043e-01 1.8599639e+00
0.9876664 2.4791100e-01 8.8295153e-01 6.2961808e-01 7.5721716e-01 4.6306756e-01 1.8678782e+00
0.9866664 2.4615483e-01 8.8243037e-01 6.2909516e-01 7.5600399e-01 4.6174652e-01 1.8758378e+00
0.9856664 2.4441380e-01 8.8191165e-01 6.2858479e-01 7.5479382e-01 4.6043718e-01 1.8838428e+00
0.9846664 2.4268777e-01 8.8139538e-01 6.2808690e-01 7.5358664e-01 4.5913942e-01 1.8918936e+00
0.9836664 2.4097655e-01 8.8088155e-01 6.2760141e-01 7.5238244e-01 4.5785314e-01 1.8999905e+00
0.9826664 2.3927998e-01 8.8037015e-01 6.2712824e-01 7.5118122e-01 4.5657821e-01 1.9081338e+00
0.9816664 2.3759790e-01 8.7986119e-01 6.2666731e-01 7.4998295e-01 4.5531452e-01 1.9163238e+00
0.9806664 2.3593016e-01 8.7935465e-01 6.2621855e-01 7.4878764e-01 4.5406197e-01 1.9245609e+00
0.9796664 2.3427659e-01 8.7885054e-01 6.2578187e-01 7.4759526e-01 4.5282043e-01 1.9328454e+00
0.9786664 2.3263705e-01 8.7834885e-01 6.2535721e-01 7.4640582e-01 4.5158980e-01 1.9411775e+00
0.9776664 2.3101137e-01 8.7784958e-01 6.2494449e-01 7.4521931e-01 4.5036998e-01 1.9495577e+00
0.9766664 2.2939940e-01 8.7735272e-01 6.2454364e-01 7.4403570e-01 4.4916085e-01 1.9579862e+00
0.9756664 2.2780100e-01 8.7685826e-01 6.2415459e-01 7.4285500e-01 4.4796231e-01 1.9664633e+00
0.9746664 2.2621602e-01 8.7636622e-01 6.2377726e-01 7.4167720e-01 4.4677425e-01 1.9749894e+00
0.9736664 2.2464431e-01 8.7587657e-01 6.2341158e-01 7.4050227e-01 4.4559658e-01 1.9835649e+00
0.9726664 2.2308573e-01 8.7538931e-01 6.2305750e-01 7.3933022e-01 4.4442918e-01 1.9921900e+00
0.9716664 2.2154014e-01 8.7490445e-01 6.2271493e-01 7.3816103e-01 4.4327196e-01 2.0008652e+00
0.9706664 2.2000740e-01 8.7442197e-01 6.2238382e-01 7.3699470e-01 4.4212482e-01 2.0095907e+00
0.9696664 2.1848737e-01 8.7394188e-01 6.2206409e-01 7.3583121e-01 4.4098766e-01 2.0183668e+00
